,Sentiment,Sentiment Num,Multi,Text
77,Positive,1,1,"Though     Mama    takes    a  bit   too  long   to   find   its  rhythm  and    a   third-act   plot  development   is   somewhat  melodramatic   ,    its   ribald   humor   and   touching  nostalgia   (0.0833333333333333re  sure  to     please  anyone   in   search   of   a    Jules  and  Jim   for   the   new  millennium  ."
78,Positive,1,1,"Windtalkers      is   shapelessly  gratifying  ,     the  kind   of  movie   that   invites   you   to     pick  apart   its  faults   even   as   you   have   to   admit   that   somehow   it    hit  you  where (2you  live  ."
79,Positive,1,2,One   of   the   greatest   romantic  comedies   of   the   past  decade  .
80,Neutral,0,0,"Using   his  audience   as   a   figurative  port-of-call   ,   Dong        pulls   his   even-handed   ideological  ship   to   their  dock   for  unloading  ,   before   he    continues    his   longer  journey  still  ahead  ."
81,Neutral,0,0,It    is  now  .
82,Positive,1,2,"All   the  performances   are   top  notch  and  ,    once   you   get   through   the  accents   ,     All  or  Nothing   becomes    an    emotional   ,   though   still   positive  ,  wrench  of a (2 sit  ."
83,Positive,1,1,MÃ¼nch  's   genuine  insight    makes    the   film  's   occasional   overindulgence  forgivable  .
84,Positive,1,1,"Thankfully   ,      the  film  ,   which    skirts    that    rapidly  deteriorating  line   between    fantasy  and  reality  ...     takes   a   tongue-in-cheek  attitude   even   as   it   pushes   the   Croc Hunter agenda  ."
85,Positive,1,2,"If   you   're   like  me   ,     a  sucker   for    a   good   old   fashion    romance  and  someone   who   shamelessly   loves   to    eat  ,   then   Mostly  Martha     offers   all   the perfect (2 ingredients   to    more  than   satisfy   your  appetite  ."
86,Positive,1,1,"There   are    a   few  stabs   at   absurdist  comedy  ...   but   mostly    the  humor   is   of   the   sweet   ,     gentle  and   occasionally  cloying   kind   that   has   become   an   Iranian  specialty  ."
87,Positive,1,1,"It   uses   an   old-time  formula  ,   it    's  not   terribly  original  and   it   's   rather  messy  --  but   you   just   have   to    love   the    big   ,   dumb   ,  happy (2 movie  My  Big   Fat   Greek  Wedding  ."
88,Positive,1,2,"It    could     change  America  ,   not      only   because   it   is   full   of   necessary   discussion  points  ,  but   because   it    is   so  accessible   that   it    makes   complex  politics   understandable  to   viewers   looking   for  nothing  but   energetic  entertainment  ."
89,Positive,1,1,"...    if   you   're   in    a  mind   set   for   goofy  comedy   ,    the  troopers    will   entertain   with   their   gross   outs   ,   bawdy   comedy   and   head  games  ."
90,Positive,1,1,"Legendary        Irish   writer   Brendan   Behan  's  memoir  ,   Borstal  Boy  ,    has   been   given   a   loving   screen  transferral  ."
91,Positive,1,2,This   clever   caper  movie      has    twists  worthy   of   David  Mamet  and   is    enormous  fun   for   thinking  audiences  .
92,Positive,1,2,"Even   with    all   those   rough  edges   safely   sanded  down   ,    the   American  Insomnia     is  still   pretty   darned  good  ."
93,Positive,1,1,"I     do  n't   know    precisely  what   to     make   of    Steven   Soderbergh  's   Full  Frontal  ,   though   that    did  n't    stop  me   from   enjoying   much   of  it  ."
94,Neutral,0,0,"Asia     authors  herself   as       Anna  Battista  ,   an   Italian  superstar  and    aspiring  directress   who   just   happens   to   be   her   own   worst  enemy  ."
95,Positive,1,1,"But    based   on  CQ   ,   I     'll  certainly   be    keeping    an  eye  out   for   his   next  project  ."
96,Neutral,0,0,Spielberg    is    the   rare  director   who    does  not   want   to   invite   viewers   to     gawk  at  or   applaud   his   special  effects  .
97,Neutral,0,0,Girls     gone  wild  and    gone  civil  again
98,Positive,1,2,Hands  down    the   year  's   most   thought-provoking  film  .
99,Positive,1,1,"The  diversity   of   the  artists     represented  ,   both   in       terms   of    style  and  ethnicity  ,    prevents   the  proceedings   from   feeling  repetitious  ,   as   does   the    appropriately  brief  40-minute   running  time  ."
100,Positive,1,1,"Even   if   you    ca  n't    pronounce   ``   gyro  ''  correctly   ,   you    'll   appreciate   much   of      Vardalos  '  humor  ,   which   transcends   ethnic  boundaries  ."
101,Positive,1,1,"As  expected   ,     Sayles  '   smart   wordplay   and   clever   plot  contrivances      are   as   sharp   as  ever  ,   though   they   may   be   overshadowed   by   some   strong  performances  ."
102,Positive,1,2,"Yeah   ,    these  flicks     are  just   that   damn  good  ."
103,Positive,1,1,Nicely    serves   as    an  examination   of    a  society   in  transition  .
104,Positive,1,2,"Renner  's  performance   as  Dahmer    is   unforgettable   ,   deeply  absorbing  ."
105,Positive,1,2,Energetic   and   boldly  provocative  .
106,Positive,1,2,"It   's   rare   to   find    a  film   that   dazzles     the  eye  ,   challenges   the  brain   ,    AND    satisfies   our  lust   for   fast-paced  action  ,  but    Minority  Report   delivers  all   that  and   a   whole  lot  more  ."
107,Positive,1,1,Jacquot  's  Tosca    is   a  treat  .
108,Positive,1,2,I   whole-heartedly    recommend   that   everyone      see   this  movie  --   for   its   historical  significance  alone  .
109,Neutral,0,0,"Hey   ,     who  else   needs   a  shower  ?"
110,Positive,1,1,"Although   it   bangs    a    very  cliched  drum   at  times   ,          this   crowd-pleaser  's   fresh  dialogue  ,   energetic  music  ,  and   good-natured  spunk    are   often  infectious  ."
111,Positive,1,2,"Often  gruelling  and   heartbreaking   to  witness   ,    but    Seldahl  and    Wollter  's   sterling  performances    raise   this    far   above    the  level   of   the   usual  maudlin   disease  movie (2 ."
112,Positive,1,2,There    's     a  vastness   implied   in  Metropolis   that   is   just  breathtaking  .
113,Positive,1,2,Murderous  Maids     may  well     be    the   most  comprehensive   of   these  films  and   also   strike   closest   to   the  truth  .
114,Positive,1,2,"The  people   in    Dogtown  and  Z-Boys     are   so  funny  ,    aggressive  and  alive   ,   you    have   to    watch  them   because   you    ca  n't   wait   to   see   what   they   do  next ."
115,Positive,1,1,"As    green-guts   monster  movies  go   ,   it    's   a  beaut  ."
116,Positive,1,1,"As  Bundy   ,     Michael   Reilly  Burke   -LRB-      Octopus  2  :   River   of  Fear  -RRB-    has    just   the   right  amount   of    charisma  and  menace  ."
117,Positive,1,2,"Ana     is     a    vivid   ,  vibrant  individual  and    the   movie  's  focus   upon   her   makes   it    successful  and  accessible  ."
118,Positive,1,1,-LRB-   Anderson  -RRB-    uses    a   hit-or-miss  aesthetic   that    hits   often  enough   to   keep    the  film   entertaining   even   if    none   of  it   makes    a  lick   of  sense  .
119,Positive,1,1,Bullock     does   a   good  job   here   of   working   against   her   natural  likability  .
120,Positive,1,1,A  film   of   precious  increments    artfully   camouflaged   as   everyday  activities  .
121,Positive,1,2,The   best  movie   of    its  kind    since  `  Brazil  .  '
122,Positive,1,1,"Chalk  it   up   to   my  adoration   for     both   De  Niro  and  Murphy  ,  but   I   had    a    pretty  good  time    with   this  movie   -   despite   its   myriad  flaws  ."
123,Positive,1,1,The  talents   of   the  actors    helps   ``    Moonlight  Mile   ''   rise   above   its   heart-on-its-sleeve  writing  .
124,Positive,1,1,"It       's   a   humble  effort  ,  but    spiced     with     wry  humor  and   genuine  pathos  ,  especially   between    Morgan  and  Redgrave  ."
125,Positive,1,1,This  examination   of    aquatic  life   off    the  shores   of    the   Baja   California  peninsula   of  Mexico    offers   an   engrossing   way   to   demonstrate    the  virtues   of   the   IMAX  format .
126,Positive,1,1,"Dark  and  disturbing  ,  but   also   surprisingly  funny  ."
127,Positive,1,1,It     's  still   worth   a  look  .
128,Neutral,0,0,...    has    freaky  scenes   where    the  crew   wonder   if   they   're   ghosts   imagining   themselves   as  alive  .
129,Positive,1,2,"Call  me   a  wimp     ,  but   I      cried  ,   not  once  ,   but    three  times   in   this   animated   sweet  film  ."
130,Positive,1,2,"The  level   of   maturity   displayed   by   this   33-year-old   first-time   feature  director      is  astonishing  ,   considering     her  inexperience  and   her   subject  matter  ."
131,Positive,1,2,"A   splendid  entertainment  ,     young   in  spirit  but   accomplished   in    all  aspects   with   the  fullness   of    spirit  and  sense   of   ease   that    comes  only   with  experience  ."
132,Positive,1,2,"Disney  's   live-action  division   has    a  history   of   releasing   cinematic  flotsam  ,  but   this   is    one  occasion   when   they   have   unearthed   a   rare  gem  ."
133,Neutral,0,0,"Whether   Kiss     is   a   future   cult  classic  or   destined   to   be   completely  forgotten   is   open   to  question  ,  but     the  risk-takers   in   the  crowd   should      check it  out and (2  form   their   own  opinion  ."
134,Positive,1,2,There    are    moments   in    this  account   of    the  life   of   artist   Frida  Kahlo   that   are   among     cinema  's  finest   this  year  .
135,Positive,1,2,There     are  just    enough  twists   in   the   tale   to    make   it   far   more  satisfying   than    almost   any   horror  film   in   recent  memory  .
136,Positive,1,2,"Ranging   from   funny   to     shattering  and  featuring   some   of    the   year  's   best  acting   ,    Personal  Velocity    gathers   plenty   of   dramatic  momentum  ."
137,Positive,1,2,The  movie    is   one   of    the   best  examples   of    artful   Large  Format   filmmaking   you   are   likely   to   see   anytime  soon  .
138,Positive,1,1,"Jason  X   has     cheesy  effects  and   a   hoary  plot  ,  but     its   macabre   ,   self-deprecating  sense   of  humor    makes  up   for   a  lot  ."
139,Positive,1,2,"One   of    the   best  examples   of   how   to     treat   a  subject   ,    you    're  not   fully   aware   is   being  examined  ,   much   like     a  photo   of  yourself   you    did n't know    was   being  taken  ."
140,Positive,1,1,Not   too  far   below   the  gloss   you     can  still   feel      director   Denis   Villeneuve  's   beating  heart  and    the  fondness   he   has   for   his  characters  .
141,Negative,-1,-2,Her  film    is   unrelentingly    claustrophobic  and  unpleasant  .
142,Positive,1,1,The  result      is  mesmerizing  --   filled   with    menace  and  squalor  .
143,Neutral,0,0,"Bourne  ,   Jason  Bourne  ."
144,Positive,1,1,"This   cuddly  sequel   to   the   1999  hit    is      a  little  more        visually  polished  ,    a  little  funnier  ,  and    a  little  more  madcap  ."
145,Positive,1,1,"The  pleasures   of   Super  Troopers   may   be  fleeting  ,  but   they   'll    register  strongly   with   anybody   who   still   retains    a   soft  spot   for   precollegiate  humor  ."
146,Positive,1,1,"A   distant   ,       even  sterile  ,  yet  compulsively  watchable    look   at    the   sordid  life   of    Hogan  's   Heroes   star   Bob  Crane  ."
147,Positive,1,1,"Although    very  much   like    the   first  movie   based   on    J.K.   Rowling  's   phenomenal   fantasy   best  sellers   ,    this   second  go-round    possesses     a    quite  pleasing   ,   headlong thrust  and   a    likably  delinquent  attitude  ."
148,Positive,1,1,Maguire    is   a    surprisingly  effective  Peter\/Spider-Man  .
149,Positive,1,1,"Not   a     cozy  or  ingratiating  work   ,   but   it   's       challenging  ,   sometimes  clever  ,  and   always  interesting  ,  and   those   are    reasons  enough   to   see  it  ."
150,Positive,1,2,"Rarely    do   films    come  along    that     are   as  intelligent  ,  exuberant    ,  and   moving   as   Monsoon  Wedding  ."
151,Positive,1,1,Quite  funny    for    the  type   of   movie   it  is  ...
152,Positive,1,1,"It     's  often  infuriatingly    glib  and  posturing  ,  and   yet   it     has   been   made   with    great  evident  care  and   manages   to     deliver  up    the  man   in   a  way  to  (3arouse  further  curiosity   in    even   the  most   unknowing  viewer  ."
153,Negative,-1,-1,One  of   -LRB-    Herzog  's  -RRB-   least  inspired   works  .
154,Positive,1,1,"Elling  really   is    about   a  couple   of   crazy  guys  ,  and   it   's   therapeutic   to    laugh  along   with  them  ."
155,Positive,1,2,An   irresistible  combination   of   a   rousing   good  story    set   on   a   truly   grand  scale  .
156,Positive,1,2,There    's   no   denying       the    physically  spectacular  qualities   of   the  film  ...  or    the   emotional  integrity   of   the  performances  .
157,Positive,1,2,"Exquisitely    acted   and   masterfully  if   preciously  interwoven  ...   -LRB-    the  film   -RRB-    addresses   in   a   fascinating   ,   intelligent  manner    the  intermingling   of      race  ,  politics and  local commerce  ."
158,Positive,1,1,"As    shaky   as   the  plot  is   ,     Kaufman  's  script     is  still   memorable   for   some   great  one-liners  ."
159,Positive,1,1,"Despite   its  flaws   ,   Secretary      stays   in   your  head  and   makes   you   question   your   own    firmly  held  positions  ."
160,Positive,1,2,"One   of   those    rare   ,  exhilarating  cinematic    delights   that     gets    even  better   in  hindsight  ,   as   you   mull   over   its    every  nuance   in   your  mind  ."
161,Positive,1,1,"Not  everything  works  ,  but    the  average   is   higher   than      in  Mary  and   most  other   recent  comedies  ."
162,Positive,1,1,A   byzantine  melodrama  that    stimulates     the   higher   brain  functions   as   well  as   the  libido  .
163,Positive,1,1,"The   film  's   sharp   ,    often  mischievous  sense   of  humor    will    catch  some   off  guard  ..."
164,Positive,1,2,"Almost   every  scene   in   this  film    is      a  gem   that   could   stand  alone  ,    a    perfectly  realized  observation   of   mood   ,    behavior  and  intent  ."
165,Positive,1,1,"This  version   's    no  classic   like   its  predecessor  ,  but    its  pleasures    are  still  plentiful  ."
166,Positive,1,1,For   all    its   serious  sense   of  purpose   ...    -LRB-   it  -RRB-    finds   a   way   to   lay   bare    the  tragedies   of    its  setting   with    a   good  deal   of    warmth  and  humor  .
167,Positive,1,1,"Sure   ,   it   's   more   of   the  same  ,  but    as    the  film  proves   ,   that     's  not  always   a   bad  thing  ."
168,Positive,1,1,"...      both  hokey  and      super-cool  ,  and  definitely   not   in   a  hurry   ,    so       sit  back  ,  relax  and   have   a  few     laughs   while    the   little  ones   get   a (2 (3 fuzzy treat  .  '"
169,Neutral,0,0,It    's    a  Count   for   our  times  .
170,Positive,1,1,A   pro-fat  farce   that   overcomes  much   of    its   excessive   moral  baggage    thanks   to  two   appealing   lead  performances  .
171,Neutral,0,0,Only   two  words   will    tell  you   what   you   know   when   deciding   to   see  it  :  Anthony  .
172,Neutral,0,0,Hopkins  .
173,Neutral,0,0,"Possession   is    Elizabeth   Barrett  Browning   meets   Nancy  Drew  ,  and   it   's   directed  by  ...   Neil  LaBute  ."
174,Neutral,0,0,Hmm  .
175,Positive,1,1,"For   all   its   failed  connections   ,     Divine  Secrets   of   the   Ya-Ya  Sisterhood      is  nurturing  ,   in     a  gauzy  ,   dithering  way  ."
176,Positive,1,1,The  filmmakers   skillfully     evoke    the  sense   of  menace   that   nature   holds   for   many   urban  dwellers  .
177,Positive,1,1,"This   romantic  thriller   is   steeped   in    the  atmosphere   of   wartime  England  ,  and   ably   captures     the   speech  patterns  ,    moral    codes  and  ideals   of   the  1940s  ."
178,Positive,1,1,"``    Antwone  Fisher   ''    is    an   earnest   ,   by-the-numbers  effort   by  Washington  ."
179,Positive,1,1,It       wo  n't   rock   any  boats  but   is    solid  meat-and-potatoes  filmmaking  .
180,Positive,1,2,"As   a   singular   character  study   ,   it    's  perfect  ."
181,Positive,1,2,It     's  also    the   year  's   sweetest  movie  .
182,Positive,1,1,"While   not   as   aggressively   impressive   as   its   American  counterpart   ,   ``    In   the  Bedroom   ,   ''   Moretti   's  film    makes   its   own   ,  quieter  observations"
183,Positive,1,1,The  experience   of   watching    blobby   old-school   CGI  animation   in   this   superlarge  format     is  just    surreal  enough   to   be  diverting  .
184,Positive,1,1,Time  Changer    may  not    be   the    most  memorable   cinema  session   but       its   profound   self-evaluation  message   about   our   fragile  existence  and    the  absence   of   spiritual  guidance  (2 (2 should (2  at (1 least   invade    an  abundance   of  mindsets
185,Neutral,0,0,"``     The  Emperor   's   New  Clothes   ''   begins   with   a   simple  plan  ...    Well   ,   at  least   that   's   the  plan  ."
186,Positive,1,2,"An     exciting  and  involving   rock   music  doc  ,   a    smart  and  satisfying    look   inside   that   tumultuous  world  ."
187,Positive,1,1,"An   impossible  romance     ,  but   we   root   for   the   patronized   Iranian  lad  ."
188,Positive,1,1,"There   's    a   disreputable  air   about   the   whole  thing  ,  and   that   's   what   makes   it  irresistible  ."
189,Positive,1,2,an    exceedingly  clever  piece   of  cinema  .
190,Positive,1,1,A   carefully  structured     scream   of  consciousness      that   is    tortured  and  unsettling  --  but   unquestionably  alive  .
191,Positive,1,2,"Cute   ,  funny   ,     heartwarming   digitally   animated   feature  film   with   plenty   of        slapstick  humor   for   the  kids  ,   lots   of   in-jokes   for   the  adults  and    heart  enough (3  for (2 everyone  ."
192,Positive,1,2,"Compelling   as   it   is  exotic   ,    Fast  Runner    has    a  plot   that   rivals   Shakespeare   for   intrigue   ,    treachery  and  murder  ."
193,Positive,1,1,What   it   lacks   in  originality   it     makes  up   for   in   intelligence   and   B-grade  stylishness  .
194,Positive,1,2,"This     is   as  powerful     a  set   of  evidence   as   you    'll  ever   find   of      why   art  matters  ,  and   how   it   can    resonate  far     beyond   museum  walls  and   through  (2 to  the   (2 most   painfully  marginal  lives  ."
195,Positive,1,1,Director   Rob  Marshall     went  out   gunning   to   make   a   great  one  .
196,Positive,1,1,"As   blunt   as   it   is   in   depicting   child  abuse   ,    El  Bola    is    a  movie   steeped   in    an  ambiguity   that    lends   its  conflicts   a   symbolic  resonance  ."
197,Positive,1,1,"Despite    a  story    predictable  enough   to    make    The  Sound   of   Music  play   like   a   nail-biting  thriller   ,    its  heart    is   so   much   in    the   right  place   it   is  (1 difficult (2  to (1   get   really  peeved   at  it  ."
198,Positive,1,1,"An    incredibly  low-rent   Danish  film  ,  it   brings    a  group   of     people   together   in   a     sweet  and  charming  way  ,   if    a  little  convenient"
199,Positive,1,1,"It   's    the   cinematic  equivalent   of   a   good  page-turner  ,  and    even   if   it   's  nonsense   ,    its  claws   dig   surprisingly  deep  ."
200,Neutral,0,0,No   question  .
201,Positive,1,1,"What    Full  Frontal   lacks   in   thematic  coherence   it   largely     makes  up   for   as   loosey-goosey   ,   experimental  entertainment  ."
202,Positive,1,2,"Rich   in   detail   ,   gorgeously    shot  and  beautifully  acted   ,    Les  Destinees       is  ,   in   its  quiet  ,     epic  way  ,      daring  ,  inventive  and   refreshingly  unusual  ."
203,Positive,1,1,"-LRB-   A  -RRB-    Hollywood  sheen      bedevils   the  film   from   the   very  beginning  ...    -LRB-   but  -RRB-   Lohman   's  moist   ,     deeply  emotional  eyes    shine   through   this   bogus  veneer  ..."
204,Positive,1,1,Good    ol'   urban   legend  stuff  .
205,Positive,1,1,"This     is  n't   my  favorite   in   the  series  ,  still   I   enjoyed   it   enough   to  recommend  ."
206,Positive,1,2,It    's   one   of    the    most  honest  films   ever   made   about  Hollywood  .
207,Positive,1,1,Pray  's  film      works  well  and   will    appeal  even   to   those   who    are  n't   too   familiar   with  turntablism  .
208,Positive,1,1,Good  movie  .
