Word,Sentiment,Sentiment Num,Strength Indicator
blissfully,positive,1,0
Blithely,positive,1,0
blockbuster,positive,1,0
blockbusters,positive,1,0
blue-chip,positive,1,0
bodacious,positive,1,0
Boisterous,positive,1,0
bold,positive,1,0
bolder,positive,1,0
Boldly,positive,1,0
bombshell,positive,1,0
Bond-inspired,positive,1,0
bone-chilling,positive,1,0
bong,positive,1,0
bonus,positive,1,0
boobs,positive,1,0
bounces,negative,-1,0
bouncy,positive,1,0
bound,positive,1,0
bowser,positive,1,0
bracing,positive,1,0
Brady,positive,1,0
brain-slappingly,positive,1,0
bravado,positive,1,0
Brave,positive,1,0
bravely,positive,1,0
bravery,positive,1,0
bravura,positive,1,0
breakthrough,positive,1,0
breathless,positive,1,0
briefly,positive,1,0
bright,positive,1,0
brightly,positive,1,0
brilliance,positive,1,0
Brilliant,positive,1,0
Brilliantly,positive,1,0
brimming,positive,1,0
bring,positive,1,0
brisk,positive,1,0
broadcast,positive,1,0
Broadway,positive,1,0
bronze,positive,1,0
brotherly,positive,1,0
brow,positive,1,0
brushes,positive,1,0
Brussels,positive,1,0
bubbly,positive,1,0
Buckaroo,positive,1,0
buddies,positive,1,0
Bui,positive,1,0
bursting,positive,1,0
Caddyshack,positive,1,0
caf?,positive,1,0
caliber,positive,1,0
camaraderie,positive,1,0
cameo-packed,positive,1,0
Canada,positive,1,0
Candid,positive,1,0
candy-like,positive,1,0
capable,positive,1,0
captain,positive,1,0
Captivates,positive,1,0
captivatingly,positive,1,0
captured,positive,1,0
capturing,positive,1,0
care,positive,1,0
cares,positive,1,0
Carl,positive,1,0
Carlos,positive,1,0
Carmichael,positive,1,0
Carrying,positive,1,0
catapulting,positive,1,0
catchy,positive,1,0
Caton-Jones,positive,1,0
caused,positive,1,0
celebrated,positive,1,0
celebrates,positive,1,0
celebration,positive,1,0
celebratory,positive,1,0
centers,positive,1,0
cerebral,positive,1,0
certain,positive,1,0
certainly,positive,1,0
certified,positive,1,0
Challenging,positive,1,0
champion,positive,1,0
championship,positive,1,0
character-oriented,positive,1,0
charged,positive,1,0
charges,positive,1,0
charisma,positive,1,0
charismatic,positive,1,0
charitable,positive,1,0
charm,positive,1,0
charmer,positive,1,0
charmers,positive,1,0
charmingly,positive,1,0
charms,positive,1,0
check,positive,1,0
checkout,positive,1,0
cheeky,positive,1,0
cheered,positive,1,0
cheerfully,positive,1,0
cheering,positive,1,0
Cherish,positive,1,0
cherished,positive,1,0
children,positive,1,0
chilling,positive,1,0
chillingly,positive,1,0
chipper,positive,1,0
Chris,positive,1,0
Christian,positive,1,0
chuckle,positive,1,0
Cinderella,positive,1,0
circa,positive,1,0
clarity,positive,1,0
classic,positive,1,0
classical,positive,1,0
classy,positive,1,0
Claude,positive,1,0
clean,positive,1,0
clean-cut,positive,1,0
cleaner,positive,1,0
cleansing,positive,1,0
clear-cut,positive,1,0
Cleaver,positive,1,0
cleverer,positive,1,0
cleverest,positive,1,0
cleverly,positive,1,0
cleverness,positive,1,0
clients,positive,1,0
Cliffhanger,positive,1,0
climactic,positive,1,0
climate,positive,1,0
climax,positive,1,0
closed,positive,1,0
close-to-solid,positive,1,0
clutchy,negative,-1,0
cocktail,positive,1,0
coffee,positive,1,0
coherent,positive,1,0
cohesive,positive,1,0
Collateral,positive,1,0
collective,positive,1,0
colorful,positive,1,0
colorfully,positive,1,0
comeback,positive,1,0
comedic,positive,1,0
comfort,positive,1,0
comfortable,positive,1,0
comfortably,positive,1,0
comforted,positive,1,0
comforting,positive,1,0
comfy,positive,1,0
comical,positive,1,0
comically,positive,1,0
commander-in-chief,positive,1,0
commanding,positive,1,0
commands,positive,1,0
commendable,positive,1,0
committed,positive,1,0
companion,positive,1,0
companionable,positive,1,0
companionship,positive,1,0
comparative,positive,1,0
compassionate,positive,1,0
compassionately,positive,1,0
compatible,positive,1,0
compelling,positive,1,0
compellingly,positive,1,0
compels,positive,1,0
competence,positive,1,0
competent,positive,1,0
competently,positive,1,0
competitive,positive,1,0
complete,positive,1,0
complex,positive,1,0
complexity,positive,1,0
compliment,positive,1,0
comprehensible,positive,1,0
comradeship,positive,1,0
conceivable,positive,1,0
concentration,positive,1,0
condensation,positive,1,0
confidence,positive,1,0
confidently,positive,1,0
confirmation,positive,1,0
Confirms,positive,1,0
connecting,positive,1,0
connects,positive,1,0
conquers,positive,1,0
consciousness-raiser,positive,1,0
consciousness-raising,positive,1,0
considerable,positive,1,0
consistency,positive,1,0
consistent,positive,1,0
constructs,positive,1,0
consummate,positive,1,0
contemplation,positive,1,0
contemplative,positive,1,0
contenders,positive,1,0
content,positive,1,0
contentedly,positive,1,0
contributions,positive,1,0
convenient,positive,1,0
convinced,positive,1,0
convincing,positive,1,0
cool,positive,1,0
coolness,positive,1,0
coordinated,positive,1,0
correctly,positive,1,0
co-stars,positive,1,0
countenance,positive,1,0
counter-cultural,positive,1,0
Country,positive,1,0
courageous,positive,1,0
courageousness,positive,1,0
Course,positive,1,0
co-winner,positive,1,0
cozy,positive,1,0
crackles,positive,1,0
crafted,positive,1,0
crafting,positive,1,0
crafty,positive,1,0
create,positive,1,0
creatively,positive,1,0
creativity,positive,1,0
Credibility,positive,1,0
credible,positive,1,0
credulous,positive,1,0
creepy-scary,positive,1,0
cresting,positive,1,0
crossing-over,positive,1,0
cross-promotion,positive,1,0
crowdpleaser,positive,1,0
crowd-pleasing,positive,1,0
crushes,positive,1,0
crypt,positive,1,0
cuddly,positive,1,0
cultivated,positive,1,0
cultivation,positive,1,0
cultural,positive,1,0
cunning,positive,1,0
curious,positive,1,0
Curves,positive,1,0
cute,positive,1,0
cuteness,positive,1,0
cuter,positive,1,0
cutes,positive,1,0
cutesy-pie,positive,1,0
daddy,positive,1,0
Danis,positive,1,0
dared,positive,1,0
Daring,positive,1,0
darling,positive,1,0
dashing,positive,1,0
dates,positive,1,0
Daughter,positive,1,0
Davis,positive,1,0
daytime,positive,1,0
dazzle,positive,1,0
dazzlingly,positive,1,0
dead-on,positive,1,0
dearly,positive,1,0
dearly-loved,positive,1,0
decent,positive,1,0
decides,positive,1,0
decisive,positive,1,0
decorous,positive,1,0
dedicated,positive,1,0
dedication,positive,1,0
defined,positive,1,0
defining,positive,1,0
definitive,positive,1,0
deft,positive,1,0
del,positive,1,0
delicate,positive,1,0
delicious,positive,1,0
deliciously,positive,1,0
Delight,positive,1,0
delighted,positive,1,0
delightfully,positive,1,0
delights,positive,1,0
delving,positive,1,0
denuded,positive,1,0
Denzel,positive,1,0
depicting,positive,1,0
derivative,negative,-1,0
derring-do,positive,1,0
Deserving,positive,1,0
desirable,positive,1,0
detail,positive,1,0
detailed,positive,1,0
detailing,positive,1,0
Determined,positive,1,0
Deutchland,positive,1,0
developed,positive,1,0
Devotees,positive,1,0
dictums,positive,1,0
Digital,positive,1,0
Dignified,positive,1,0
disagree,positive,1,0
disarmingly,positive,1,0
discoveries,positive,1,0
Disney,positive,1,0
distinctive,positive,1,0
distinguishable,positive,1,0
distinguished,positive,1,0
distinguishes,positive,1,0
diva,positive,1,0
diverse,positive,1,0
divine,positive,1,0
Djeinaba,positive,1,0
document,positive,1,0
documentarian,positive,1,0
dodge,positive,1,0
Does,positive,1,0
dog,positive,1,0
doggie,positive,1,0
Dogme,positive,1,0
dollars,positive,1,0
dominant,positive,1,0
dominated,positive,1,0
dominates,positive,1,0
Don,positive,1,0
donna,positive,1,0
dope,positive,1,0
down-to-earth,positive,1,0
Dragon,positive,1,0
Dragonfly,positive,1,0
dramatic,positive,1,0
dramatized,positive,1,0
dream,positive,1,0
dreaminess,positive,1,0
dreamlike,positive,1,0
dreamy,positive,1,0
Driving,positive,1,0
dropped,positive,1,0
dumplings,positive,1,0
durable,positive,1,0
dwells,positive,1,0
dynamic,positive,1,0
dynamism,positive,1,0
dynamited,positive,1,0
dyspeptic,positive,1,0
dystopia,positive,1,0
dystopian,positive,1,0
eagerly,positive,1,0
earnest,positive,1,0
earnestness,positive,1,0
Earns,positive,1,0
ear-pleasing,positive,1,0
earthly,positive,1,0
earthshaking,positive,1,0
earthy,positive,1,0
easily,positive,1,0
Easy,positive,1,0
easygoing,positive,1,0
easy-going,positive,1,0
ebullient,positive,1,0
Eccentric,positive,1,0
echoes,positive,1,0
Eckstraordinarily,positive,1,0
eclipses,positive,1,0
ecological,positive,1,0
economical,positive,1,0
ecstasy,positive,1,0
edge,positive,1,0
edge-of-your-seat,positive,1,0
edits,positive,1,0
educates,positive,1,0
eerily,positive,1,0
effecting,positive,1,0
effective,positive,1,0
Effectively,positive,1,0
effectiveness,positive,1,0
Efficient,positive,1,0
efficiently,positive,1,0
effortlessly,positive,1,0
eighth-grader,positive,1,0
eighties,positive,1,0
Eisenberg,positive,1,0
elaborate,positive,1,0
elaborateness,positive,1,0
electric,positive,1,0
elegance,positive,1,0
Elegant,positive,1,0
elegantly,positive,1,0
elevate,positive,1,0
elite,positive,1,0
Elmer,positive,1,0
Elmo,positive,1,0
eloquence,positive,1,0
eloquently,positive,1,0
embellishing,positive,1,0
embellishment,positive,1,0
embraced,positive,1,0
empathetic,positive,1,0
empathize,positive,1,0
empathy,positive,1,0
emphasis,positive,1,0
emphasized,positive,1,0
emphasizing,positive,1,0
emphatic,positive,1,0
empowerment,positive,1,0
empress,positive,1,0
enamored,positive,1,0
enchanting,positive,1,0
enchantment,positive,1,0
encompassing,positive,1,0
Encounters,positive,1,0
encouraging,positive,1,0
endear,positive,1,0
endearing,positive,1,0
endearingly,positive,1,0
endeavors,positive,1,0
endorses,positive,1,0
enduring,positive,1,0
energetic,positive,1,0
energized,positive,1,0
energizes,positive,1,0
energy,positive,1,0
engage,positive,1,0
engaged,positive,1,0
engages,positive,1,0
engagingly,positive,1,0
engross,positive,1,0
Engrossing,positive,1,0
enhance,positive,1,0
enhanced,positive,1,0
enhancing,positive,1,0
Enjoy,positive,1,0
enjoyable,positive,1,0
Enjoyably,positive,1,0
enjoyed,positive,1,0
enjoying,positive,1,0
enjoyment,positive,1,0
enjoys,positive,1,0
enlightened,positive,1,0
enlightening,positive,1,0
enlightenment,positive,1,0
enlivens,positive,1,0
enormous,positive,1,0
enriched,positive,1,0
ensures,positive,1,0
entering,positive,1,0
entertain,positive,1,0
Entertaining,positive,1,0
entertainingly,positive,1,0
entertainment,positive,1,0
entertains,positive,1,0
enthrall,positive,1,0
enthronement,positive,1,0
enthusiasm,positive,1,0
enthusiast,positive,1,0
enthusiastic,positive,1,0
enthusiastically,positive,1,0
entirety,positive,1,0
entrancing,positive,1,0
entrapment,positive,1,0
envisioned,positive,1,0
epic,positive,1,0
epic-horror,positive,1,0
epics,positive,1,0
epiphanies,positive,1,0
epiphany,positive,1,0
Episode,positive,1,0
Eric,positive,1,0
erotic,positive,1,0
escape,positive,1,0
esoteric,positive,1,0
ESPN,positive,1,0
ethereal,positive,1,0
ethics,positive,1,0
ethnic,positive,1,0
evangelical,positive,1,0
eventful,positive,1,0
Everlasting,positive,1,0
ever-watchful,positive,1,0
everywhere,positive,1,0
eviction,positive,1,0
evocative,positive,1,0
Evokes,positive,1,0
evolve,positive,1,0
evolves,positive,1,0
evolving,positive,1,0
exalted,positive,1,0
exceed,positive,1,0
exceedingly,positive,1,0
exceeds,positive,1,0
excel,positive,1,0
excels,positive,1,0
exceptional,positive,1,0
exceptionally,positive,1,0
excite,positive,1,0
excited,positive,1,0
excitement,positive,1,0
Exciting,positive,1,0
excruciatingly,positive,1,0
exhilarated,positive,1,0
Exhilarating,positive,1,0
exhilaratingly,positive,1,0
exigencies,positive,1,0
exotic-looking,positive,1,0
Expands,positive,1,0
Expecting,positive,1,0
expedience,positive,1,0
experienced,positive,1,0
expertly,positive,1,0
explicit,positive,1,0
explode,positive,1,0
explorations,positive,1,0
Exploring,positive,1,0
explosive,positive,1,0
expressive,positive,1,0
extensively,positive,1,0
extravagantly,positive,1,0
extravaganza,positive,1,0
exuberance,positive,1,0
exuberantly,positive,1,0
eyeballs,positive,1,0
eye-filling,positive,1,0
eye-opener,positive,1,0
eye-opening,positive,1,0
Eyes,positive,1,0
fab,positive,1,0
fabuleux,positive,1,0
fabulously,positive,1,0
faced,positive,1,0
fairytale,positive,1,0
faithful,positive,1,0
falling,positive,1,0
famed,positive,1,0
familial,positive,1,0
family,positive,1,0
family-friendly,positive,1,0
family-oriented,positive,1,0
Famous,positive,1,0
fan,positive,1,0
fancied,negative,-1,0
fanciful,positive,1,0
fancy,positive,1,0
fandango,positive,1,0
fans,positive,1,0
fantasies,positive,1,0
fantasized,positive,1,0
fantasti,positive,1,0
fantastic,positive,1,0
fantastical,positive,1,0
fantastically,positive,1,0
fantasy,positive,1,0
fascinate,positive,1,0
fascinated,positive,1,0
fascinates,positive,1,0
fascinating,positive,1,0
fascination,positive,1,0
fast-moving,positive,1,0
Fast-paced,positive,1,0
Faultlessly,positive,1,0
Favor,positive,1,0
favorably,positive,1,0
favored,positive,1,0
favour,positive,1,0
fax,positive,1,0
fearless,positive,1,0
fearlessly,positive,1,0
fearlessness,positive,1,0
feast,positive,1,0
feature-length,positive,1,0
Features,positive,1,0
feel-good,positive,1,0
fertile,positive,1,0
fervid,positive,1,0
Festival,positive,1,0
festive,positive,1,0
fetching,positive,1,0
fiascoes,positive,1,0
fierce,positive,1,0
filling,positive,1,0
fine,positive,1,0
fine-looking,positive,1,0
finely,positive,1,0
finery,positive,1,0
finesse,positive,1,0
finest,positive,1,0
Finn,positive,1,0
fire-breathing,positive,1,0
firmly,positive,1,0
First,positive,1,0
first-class,positive,1,0
first-rate,positive,1,0
first-timer,positive,1,0
fit,positive,1,0
fits,positive,1,0
fitting,positive,1,0
fixating,positive,1,0
Flamboyant,positive,1,0
flashy,positive,1,0
flatter,positive,1,0
flattering,positive,1,0
flavorful,positive,1,0
flavours,positive,1,0
flexible,positive,1,0
fling,positive,1,0
flourish,positive,1,0
flourishes,positive,1,0
flowering,positive,1,0
flowery,positive,1,0
Fluffy,positive,1,0
fluid,positive,1,0
fluttering,positive,1,0
Focus,positive,1,0
follow-your-dream,positive,1,0
fondly,positive,1,0
fondness,positive,1,0
Food,positive,1,0
food-spittingly,positive,1,0
forefront,positive,1,0
forgot,positive,1,0
formidable,positive,1,0
fountainheads,positive,1,0
fraction,positive,1,0
Francophiles,positive,1,0
freakish,positive,1,0
freedom,positive,1,0
freeing,positive,1,0
freely,positive,1,0
Fresh,positive,1,0
freshening,positive,1,0
fresh-faced,positive,1,0
freshly,positive,1,0
freshman,positive,1,0
freshness,positive,1,0
friend,positive,1,0
friendly,positive,1,0
friends,positive,1,0
frightfest,positive,1,0
frisky,positive,1,0
frosting,positive,1,0
fruitful,positive,1,0
fueling,positive,1,0
fulfill,positive,1,0
fulfilling,positive,1,0
full-blooded,positive,1,0
full-on,positive,1,0
Fun,positive,1,0
fun-for-fun,positive,1,0
fun-loving,positive,1,0
funnier,positive,1,0
funniness,positive,1,0
funny,positive,1,0
funny\/gritty,positive,1,0
funnybone,positive,1,0
fun-seeking,positive,1,0
Further,positive,1,0
future-world,positive,1,0
fuzzy,positive,1,0
gadgets,positive,1,0
gasp,positive,1,0
gates,positive,1,0
geared,positive,1,0
Gedeck,positive,1,0
gem,positive,1,0
gender-provoking,positive,1,0
Generates,positive,1,0
generosity,positive,1,0
generous,positive,1,0
genial,positive,1,0
geniality,positive,1,0
genitals,positive,1,0
gentle,positive,1,0
Gentlemen,positive,1,0
Gently,positive,1,0
genuinely,positive,1,0
gesturing,positive,1,0
Get,positive,1,0
Ghandi,positive,1,0
giddily,positive,1,0
Gift,positive,1,0
gifted,positive,1,0
giggles,positive,1,0
Giggling,positive,1,0
giggly,positive,1,0
Gilliam-esque,positive,1,0
gimmicky,positive,1,0
girl-woman,positive,1,0
give,positive,1,0
give-me-an-Oscar,positive,1,0
glad,positive,1,0
glamorous,positive,1,0
glamour,positive,1,0
glee,positive,1,0
glides,positive,1,0
glitz,positive,1,0
Glizty,positive,1,0
glories,positive,1,0
glorified,positive,1,0
glorifying,positive,1,0
gloriously,positive,1,0
Glory,positive,1,0
glow,positive,1,0
glows,positive,1,0
glued,positive,1,0
goal,positive,1,0
goals,positive,1,0
go-for-broke,positive,1,0
gold,positive,1,0
Golden,positive,1,0
Good,positive,1,0
Goodfellas,positive,1,0
good-for-you,positive,1,0
good-hearted,positive,1,0
