Word,Sentiment
appreciate,Positive
appreciated,Positive
appreciates,Positive
appreciating,Positive
appreciation,Positive
appreciations,Positive
appreciative,Positive
appreciatively,Positive
appreciativeness,Positive
appreciator,Positive
appreciators,Positive
appreciatory,Positive
apprehens,Negative
apprehensible,Positive
apprehensibly,Positive
apprehension,Negative
apprehensions,Negative
apprehensive,Negative
apprehensively,Negative
appropriate,Positive
approval,Positive
approvals,Positive
approve,Positive
approved,Positive
approvement,Positive
approve-of,Positive
approver,Positive
approvers,Positive
approves,Positive
approving,Positive
approvingly,Positive
approving-of,Positive
arbitrary,Negative
arcane,Negative
archaic,Negative
ardent,Positive
ardently,Positive
ardor,Positive
arduous,Negative
arduously,Negative
arggh,Negative
argh,Negative
argu,Negative
argumentative,Negative
arousal,Positive
arouse,Positive
aroused,Positive
arrest,Negative
arrested,Negative
arrgghh,Negative
arrgh,Negative
arrogan,Negative
arrogance,Negative
arrogant,Negative
arrogantly,Negative
arsehole,Negative
articulate,Positive
artificial,Negative
artlessness,Negative
arty,Negative
asham,Negative
ashamed,Negative
ashamedly,Negative
asinine,Negative
asininely,Negative
asinininity,Negative
askance,Negative
asperse,Negative
aspersion,Negative
aspersions,Negative
aspiration,Positive
aspirations,Positive
aspire,Positive
aspiring,Positive
ass,Negative
assail,Negative
assailant,Negative
assailants,Negative
assassin,Negative
assassinate,Negative
assassinate,Negative
assassinated,Negative
assassinates,Negative
assassinating,Negative
assassination,Negative
assassinations,Negative
assassinator,Negative
assassins,Negative
assault,Negative
assaultable,Negative
assaulted,Negative
assaulter,Negative
assaulters,Negative
assaulting,Negative
assaultive,Negative
assaults,Negative
assent,Positive
asshole,Negative
asspirate,Negative
assult,Negative
assur,Positive
assurance,Positive
assurances,Positive
assure,Positive
assured,Positive
assuredly,Positive
assureds,Positive
assuring,Positive
assurors,Positive
asswipe,Negative
astonish,Positive
astonished,Negative
astonishing,Positive
astonishingly,Positive
astonishment,Positive
astound,Positive
astounded,Positive
astounding,Positive
astoundingly,Positive
astray,Negative
astutely,Positive
asunder,Negative
at-court,Negative
at-ease,Positive
atone,Positive
at-peace,Positive
atrocious,Negative
atrociously,Negative
atrociousness,Negative
atrocities,Negative
atrocity,Negative
atrophy,Negative
attack,Negative
attacked,Negative
attacker,Negative
attackers,Negative
attacking,Negative
attackingly,Negative
attacks,Negative
attainable,Positive
attentive,Positive
attentiveness,Positive
attract,Positive
attractable,Positive
attracted,Positive
attracting,Positive
attraction,Positive
attractions,Positive
attractive,Positive
attractively,Positive
attractiveness,Positive
attracts,Positive
attune,Positive
audacious,Negative
audaciously,Negative
audaciousness,Negative
audacity,Negative
audible,Positive
audibly,Positive
audiciously,Negative
auspicious,Positive
auster,Negative
austere,Negative
authentic,Positive
authentically,Positive
authenticated,Positive
authentication,Positive
authentications,Positive
authenticities,Positive
authenticity,Positive
authoritarian,Negative
authoritative,Positive
autocrat,Negative
autocratic,Negative
autonomous,Positive
available,Positive
avalanche,Negative
avaric,Negative
avarice,Negative
avarices,Negative
avaricious,Negative
avariciously,Negative
avenge,Negative
aver,Positive
averse,Negative
aversi,Negative
aversion,Negative
aversions,Negative
aversive,Negative
avid,Positive
avidity,Positive
avidly,Positive
avoid,Negative
awaiting,Negative
award,Positive
awarded,Positive
awardee,Positive
awardees,Positive
awards,Positive
aware,Positive
awareness,Positive
awe,Positive
awed,Positive
aweful,Negative
awesome,Positive
awesomely,Positive
awesomeness,Positive
awestruck,Positive
awful,Negative
awfully,Negative
awfulness,Negative
awh,Negative
awkward,Negative
awkwardly,Negative
awkwardness,Negative
awsome,Positive
aww,Positive
ax,Negative
aye,Positive
babble,Negative
babbled,Negative
babbler,Negative
babblers,Negative
babbles,Negative
babis,Negative
backache,Negative
backaches,Negative
backaching,Negative
backbite,Negative
backbiting,Negative
backbone,Positive
back-logged,Negative
backstab,Negative
backstabbing,Negative
backstabed,Negative
backstabs,Negative
backward,Negative
backwardness,Negative
backwood,Negative
back-wood,Negative
backwoods,Negative
back-woods,Negative
bad,Negative
badly,Negative
badmouth,Negative
badmouthed,Negative
badmouthing,Negative
badmouths,Negative
badness,Negative
baffle,Negative
baffled,Negative
bafflement,Negative
baffling,Negative
bait,Negative
balanced,Positive
balderdash,Negative
balk,Negative
balked,Negative
balker,Negative
balkers,Negative
balkier,Negative
balkiest,Negative
balkily,Negative
balkiness,Negative
balking,Negative
balks,Negative
balky,Negative
baloney,Negative
banal,Negative
banalize,Negative
bandit,Negative
banditries,Negative
banditry,Negative
bandits,Negative
banditti,Negative
bane,Negative
banish,Negative
banished,Negative
banisher,Negative
banishers,Negative
banishes,Negative
banishing,Negative
banishment,Negative
banishment,Negative
banishments,Negative
bankrupt,Negative
bankruptcies,Negative
bankruptcy,Negative
bankrupted,Negative
bankrupting,Negative
bankrupts,Negative
banquet,Positive
barbari,Negative
barbarian,Negative
barbarianism,Negative
barbarians,Negative
barbaric,Negative
barbarically,Negative
barbarism,Negative
barbarisms,Negative
barbarities,Negative
barbarity,Negative
barbarization,Negative
barbarize,Negative
barbarized,Negative
barbarizes,Negative
barbarizing,Negative
barbarous,Negative
barbarously,Negative
barf,Negative
barfed,Negative
barfing,Negative
barflies,Negative
barfly,Negative
barfs,Negative
bargain,Positive
barren,Negative
barrier,Negative
barriers,Negative
baseless,Negative
bash,Negative
bashed,Negative
bashful,Negative
bashfully,Negative
bashfully,Negative
bashfulness,Negative
bashfulness,Negative
bashing,Negative
bastard,Negative
bastardies,Negative
bastardization,Negative
bastardizations,Negative
bastardize,Negative
bastardized,Negative
bastardizes,Negative
bastardizing,Negative
bastardly,Negative
bastards,Negative
bastardy,Negative
battered,Negative
battering,Negative
battl,Negative
battled,Negative
battler,Negative
battlers,Negative
battles,Negative
battleship,Negative
battleships,Negative
battling,Negative
batty,Negative
bau,Negative
bawdy,Negative
bawu,Negative
beaming,Positive
bearish,Negative
beastly,Negative
beat,Negative
beaten,Negative
beatings,Negative
beaut,Positive
beauteous,Positive
beauteously,Positive
beautician,Positive
beauticians,Positive
beauties,Positive
beautification,Positive
beautified,Positive
beautifier,Positive
beautifiers,Positive
beautifies,Positive
beautiful,Positive
beautifullly,Positive
beautifully,Positive
beautify,Positive
beautifying,Positive
beauts,Positive
beauty,Positive
beckon,Positive
beckoned,Positive
beckoning,Positive
beckons,Positive
bedlam,NEGATIVE
bedlamite,Negative
befoul,Negative
beg,Negative
beggar,Negative
beggared,Negative
beggaries,Negative
beggaring,Negative
beggarliness,Negative
beggarly,Negative
beggary,Negative
begging,Negative
beguile,Negative
beguiling,Negative
beguilingly,Negative
behead,Negative
beheaded,Negative
beheading,Negative
beheads,Negative
beholden,Positive
belabor,Negative
belated,Negative
beleaguer,Negative
belie,Negative
believable,Positive
believe,positive
believeable,Positive
belittl,Negative
belittle,Negative
belittled,Negative
belittlement,Negative
belittler,Negative
belittlers,Negative
belittles,Negative
belittling,Negative
bellicose,Negative
belligerence,Negative
belligerent,Negative
belligerently,Negative
belligerents,Negative
beloved,Positive
beloveds,Positive
bemoan,Negative
bemoaning,Negative
bemused,Negative
benefactor,Positive
benefic,Positive
beneficence,Positive
beneficent,Positive
beneficently,Positive
beneficial,Positive
beneficially,Positive
beneficialness,Positive
beneficiary,Positive
benefit,Positive
benefited,Positive
benefiting,Positive
benefits,Positive
benefitted,Positive
benefitting,Positive
benevolen,Positive
benevolence,Positive
benevolent,Positive
benevolently,Positive
benifits,Positive
benign,Positive
benignancies,Positive
benignancy,Positive
benignant,Positive
benignantly,Positive
benignities,Positive
benignity,Positive
benignly,Positive
bent,Negative
berate,Negative
bereave,Negative
bereaved,Negative
bereavement,Negative
bereavements,Negative
bereaver,Negative
bereavers,Negative
bereaves,Negative
bereft,Negative
berk,Negative
berserk,Negative
beseech,Negative
beset,Negative
besiege,Negative
besmirch,Negative
best,Positive
bestest,Positive
bestest,Positive
bestest,Positive
bestial,Negative
bestie,Positive
besties,Positive
best-known,Positive
best-performing,Positive
best-selling,Positive
betray,Negative
betrayal,Negative
betrayals,Negative
betrayed,Negative
betrayer,Negative
betrayer,Negative
betrayers,Negative
betraying,Negative
betrays,Negative
betrothed,Positive
better,Positive
better-known,Positive
better-than-expected,Positive
beutifully,Positive
bewail,Negative
beware,Negative
bewilder,Negative
bewildered,Negative
bewildering,Negative
bewilderingly,Negative
bewilderment,Negative
bewilders,Negative
bewitch,Negative
bewitching,Negative
bff,Positive
bg,Positive
bias,Negative
biased,Negative
biases,Negative
bicker,Negative
bickering,Negative
bid-rigging,Negative
bigot,Negative
bigoted,Negative
bigotedly,Negative
bigotries,Negative
bigotry,Negative
bigots,Negative
bilge,Negative
bill,Negative
bills,Negative
bipolar,Negative
birdbrain,Negative
birdbrains,Negative
birthday,Positive
bitch,Negative
bitched,Negative
bitchery,Negative
bitches,Negative
bitchier,Negative
bitchiest,Negative
bitchily,Negative
bitching,Negative
bitchy,Negative
biting,Negative
bitingly,Negative
bitter,Negative
bittered,Negative
bitterer,Negative
bitterest,Negative
bittering,Negative
bitterly,Negative
bitterness,Negative
bittersweet,Positive
bizarre,Negative
blab,Negative
blabber,Negative
blacklist,Negative
black-list,Negative
blacklists,Negative
black-lists,Negative
blackmail,Negative
blackmailed,Negative
blackmailer,Negative
blackmailers,Negative
blackmailing,Negative
blackmails,Negative
blah,Negative
blam,Negative
blamable,Negative
blamable,Negative
blamableness,Negative
blamably,Negative
blame,Negative
blameable,Negative
blamed,Negative
blameful,Negative
blameless,Positive
blamelessly,Positive
blamelessness,Positive
blamer,Negative
blamers,Negative
blames,Negative
blameworthiness,Negative
blameworthy,Negative
blaming,Negative
bland,Negative
blandish,Negative
blaspheme,Negative
blasphemous,Negative
blasphemy,Negative
blast,Positive
blasted,Negative
blatant,Negative
blatantly,Negative
blather,Negative
blathered,Negative
blathering,Negative
blathers,Negative
bleak,Negative
bleakly,Negative
bleakness,Negative
bleed,Negative
bleeding,Negative
bleeds,Negative
blemish,Negative
blemished,Negative
blemishes,Negative
blemishing,Negative
bless,Positive
blessed,Positive
blesseder,Positive
blessedest,Positive
blessedly,Positive
blessedness,Positive
blesser,Positive
blessers,Positive
blesses,Positive
blessing,Positive
blessings,Positive
blind,Negative
blinded,Negative
blinder,Negative
blinders,Negative
blindest,Negative
blindfold,Negative
blindfolded,Negative
blindfolding,Negative
blindfolds,Negative
blinding,Negative
blindingly,Negative
blindly,Negative
blindness,Negative
blinds,Negative
blindside,Negative
bliss,Positive
blisses,Positive
blissful,Positive
blissfully,Positive
blissfulness,Positive
blister,Negative
blistering,Negative
blithe,Positive
bloated,Negative
blockage,Negative
blockbuster,Positive
blockhead,Negative
blockheads,Negative
bloodshed,Negative
blood-take,Negative
bloodthirsty,Negative
bloody,Negative
bloom,Positive
blossom,Positive
blotchy,Negative
blow,Negative
blowsy,Negative
blue,Negative
blunder,Negative
blundering,Negative
blunders,Negative
blunt,Negative
blunted,Negative
blunter,Negative
bluntest,Negative
blunting,Negative
bluntly,Negative
bluntness,Negative
blunts,Negative
blur,Negative
blur ,Negative
bluring,Negative
blurred,Negative
blurrier,Negative
blurriest,Negative
blurrily,Negative
blurring,Negative
blurry,Negative
blurs,Negative
blurt,Negative
blurted,Negative
blurter,Negative
blurters,Negative
blurting,Negative
blurts,Negative
boast,Negative
boaster,Negative
boasters,Negative
boastful,Negative
boastfully,Negative
boastfulness,Negative
boasting,Negative
boastingly,Negative
boggle,Negative
bogus,Negative
boisterous,Negative
boisterously,Negative
boisterousness,Negative
bold,Positive
bolder,Positive
boldest,Positive
boldly,Positive
bollocks,Negative
bolster,Positive
bolt,Negative
bolthead,Negative
boltheads,Negative
bolting,Negative
bomb,Negative
bombard,Negative
bombarded,Negative
bombardier,Negative
bombardiers,Negative
bombarding,Negative
bombardment,Negative
bombardments,Negative
bombards,Negative
bombast,Negative
bombastic,Negative
bombastically,Negative
bombasts,Negative
bombed,Negative
bomber,Negative
bombers,Negative
bombing,Negative
bombings,Negative
bombload,Negative
bombloads,Negative
bombproof,Positive
bombs,Negative
bombshell,Negative
bombshells,Negative
bondage,Negative
bonehead,Negative
boneheads,Negative
bonkers,Negative
bonny,Positive
bonus,Positive
bonuses,Positive
boo,Negative
booed,Negative
boohoo,Negative
bookish,Negative
boom,Positive
booming,Positive
boost,Positive
bo-pien,Negative
bore,Negative
bored,Negative
boredom,Negative
boredoms,Negative
bores,Negative
boring,Negative
boringly,Negative
botch,Negative
bother,Negative
bothered,Negative
bothering,Negative
bothers,Negative
bothersome,Negative
bounden,Positive
boundless,Positive
bountiful,Positive
bounty,Positive
bowdlerize,Negative
boycott,Negative
brag,Negative
braggadocio,Negative
braggadocios,Negative
braggart,Negative
braggarts,Negative
bragged,Negative
bragger,Negative
braggers,Negative
bragging,Negative
brags,Negative
brainiest,Positive
brainless,Negative
brainwash,Negative
brainy,Positive
brand-new,Positive
brash,Negative
brashly,Negative
brashness,Negative
brat,Negative
bravado,Negative
brave,Positive
braved,Positive
bravely,Positive
braveness,Positive
braver,Positive
braveries,Positive
bravers,Positive
bravery,Positive
braves,Positive
bravest,Positive
bravo,Positive
brawl,Negative
brawled,Negative
brawler,Negative
brawlers,Negative
brawlier,Negative
brawliest,Negative
brawling,Negative
brawlingly,Negative
brawls,Negative
brazen,Negative
brazenly,Negative
brazenness,Negative
breach,Negative
breached,Negative
breacher,Negative
breachers,Negative
breaches,Negative
breaching,Negative
break,Negative
breakdown,Negative
breakdowns,Negative
breaking,Negative
breaks,Negative
breakthrough,Positive
breakthroughs,Positive
breakup,Negative
break-up,Negative
breakups,Negative
break-ups,Negative
breathless,Negative
breathlessness,Positive
breathtaking,Positive
breathtakingly,Positive
breeze,Positive
bribe,Negative
bribeable,Negative
bribed,Negative
bribee,Negative
briber,Negative
briberies,Negative
bribers,Negative
bribery,Negative
bribes,Negative
bright,Positive
brighten,Positive
brightened,Positive
brightener,Positive
brighteners,Positive
brightening,Positive
brightens,Positive
brighter,Positive
brightest,Positive
brightly,Positive
brightness,Positive
brights,Positive
brillian,Positive
brilliance,Positive
brilliances,Positive
brilliancies,Positive
brilliancy,Positive
brilliant,Positive
brilliantly,Positive
brilliants,Positive
brio,Positive
brisk,Positive
briskness,Positive
bristle,Negative
bristled,Negative
bristles,Negative
brittle,Negative
broke,Negative
broken,Negative
brokenhearted,Negative
broken-hearted,Negative
brokenly,Negative
brokenness,Negative
brotherly,Positive
brouhaha,Negative
browbeat,Negative
bruise,Negative
bruised,Negative
bruiser,Negative
bruisers,Negative
bruises,Negative
bruising,Negative
brusque,Negative
brutal,Negative
brutalising,Negative
brutalities,Negative
brutality,Negative
brutalization,Negative
brutalize,Negative
brutalized,Negative
brutalizes,Negative
brutalizing,Negative
brutally,Negative
brutalness,Negative
brute,Negative
brutish,Negative
bs,Negative
BTH,Negative
buckle,Negative
buddy,Positive
buffoon,Negative
bug,Negative
bugging,Negative
buggy,Negative
bugs,Negative
bulkier,Negative
bulkiness,Negative
bulky,Negative
bulkyness,Negative
bull----,Negative
bullhead,Negative
bullheaded,Negative
bullheadedness,Negative
bullheads,Negative
bullied,Negative
bullies,Negative
bullish,Positive
bullshit,Negative
bullshits,Negative
bullshyt,Negative
bulltwit,Negative
bully,Negative
bullyboy,Negative
bullyboys,Negative
bullying,Negative
bullyingly,Negative
bullyrag,Negative
bullyrags,Negative
bum,Negative
bumhole,Negative
bump,Negative
bumped,Negative
bumping,Negative
bumpping,Negative
bumps,Negative
bumpy,Negative
bungle,Negative
bungled,Negative
bungler,Negative
bunglers,Negative
bungles,Negative
bungling,Negative
bunk,Negative
bunkum,Negative
buoyancy,Positive
buoyant,Positive
burden,Negative
burdened,Negative
burdener,Negative
burdeners,Negative
burdening,Negative
burdens,Negative
burdensome,Negative
burdensomely,Negative
burgl,Negative
burglar,Negative
burglaries,Negative
burglarious,Negative
burglariously,Negative
burglarize,Negative
burglarized,Negative
burglarizes,Negative
burglarizing,Negative
burglars,Negative
burglary,Negative
burgle,Negative
burgled,Negative
burgles,Negative
burgling,Negative
buried,Negative
burn,Negative
burned,Negative
burning,Negative
burnings,Negative
burnout,Negative
burnouts,Negative
burns,Negative
burnt,Negative
burst,Negative
bury,Negative
busie,Negative
busiest,Negative
bust,Negative
busting-my-balls,Negative
bustle,Positive
bust-my-balls,Negative
busts,Negative
busybody,Negative
butcher,Negative
butchery,Negative
buto,Negative
buzz,Positive
buzzing,Negative
byzantine,Negative
cackle,Negative
cajole,Negative
calamit,Negative
calamities,Negative
calamitous,Negative
calamitously,Negative
calamitousness,Negative
calamity,Negative
callous,Negative
calm,Positive
calmed,Positive
calmer,Positive
calmest,Positive
calming,Positive
calmingly,Positive
calmly,Positive
calmness,Positive
calms,Positive
calumniate,Negative
calumniation,Negative
calumnies,Negative
calumnious,Negative
calumniously,Negative
calumny,Negative
campy,Negative
cancel,Negative
canceled,Negative
cancer,Negative
cancerous,Negative
cancerously,Negative
cancers,Negative
candid,Positive
cannibal,Negative
cannibalize,Negative
cannibals,Negative
can-not-fucking-wait,Positive
cannot-wait,Positive
cannt-wait,Positive
cant-wait,Positive
can't-wait,Positive
capability,Positive
capable,Positive
capably,Positive
capitulate,Negative
capricious,Negative
capriciously,Negative
capriciousness,Negative
capsize,Negative
capsized,Negative
capsizes,Negative
captivat,Positive
captivate,Positive
captivated,Positive
captivates,Positive
captivating,Positive
captivation,Positive
captivator,Positive
captivators,Positive
captive,Negative
captives,Negative
capture,Negative
care,Positive
cared,Positive
caree,Positive
carefree,Positive
careful,Positive
carefuller,Positive
carefully,Positive
carefulness,Positive
careless,Negative
carelessly,Negative
carelessness,Negative
cares,Positive
careworn,Negative
caricature,Negative
caring,Positive
carnage,Negative
carp,Negative
cartoonish,Negative
cashback,Positive
cashbacks,Positive
cash-strapped,Negative
castigate,Negative
castrated,Negative
casualty,Negative
cataclysm,Negative
