A,B,C,D
super-cool,,,
Superior,,,
sweet,,,
sweetheart,,,
tantalizing,,,
terrific,,,
thoughtful,,,
thrilling,,,
thrills,,,
timeless,,,
titillating,,,
topnotch,,,
Top-notch,,,
tremendous,,,
Triumph,,,
trumps,,,
unforgettable,,,
unpretentious,,,
Uplifting,,,
way-cool,,,
well-conceived,,,
well-executed,,,
well-made,,,
well-meaning,,,
well-mounted,,,
well-produced,,,
Well-shot,,,
well-structured,,,
well-written,,,
winner,,,
Wins,,,
wiser,,,
Wow,,,
abhorrent,,,
Abomination,,,
adultery,,,
agonizing,,,
annoyance,,,
annoying,,,
appalled,,,
appalling,,,
artless,,,
atrocious,,,
audience-abuse,,,
Awful,,,
awfully,,,
baaaaaaaaad,,,
bad,,,
badly-rendered,,,
bad-movie,,,
beating,,,
bibbidy-bobbidi-bland,,,
bile,,,
bitch,,,
bitchy,,,
bitter,,,
bomb,,,
bombing,,,
bore,,,
boredom,,,
boring,,,
botches,,,
bottom-of-the-bill,,,
brainless,,,
bruised,,,
burnt-out,,,
car-wreck,,,
cesspool,,,
cheap,,,
choppy,,,
codswallop,,,
cold-fish,,,
coma,,,
Contempt,,,
convoluted,,,
cowardly,,,
crap,,,
crappy,,,
crimes,,,
cringe,,,
crippled,,,
cruelly,,,
Crummy,,,
damaged-goods,,,
Dead,,,
deceitful,,,
dehumanizing,,,
depraved,,,
depressing,,,
devastating,,,
die,,,
dimwits,,,
disappoint,,,
disappointing,,,
disappointingly,,,
disappointment,,,
disappointments,,,
disappoints,,,
disaster,,,
disdain,,,
disgust,,,
disgusted,,,
disgusting,,,
disinterest,,,
distasteful,,,
doomed,,,
downer,,,
drab,,,
drabness,,,
dread,,,
dreadful,,,
dreadfulness,,,
dull,,,
dull-witted,,,
dumbest,,,
embarrassing,,,
ENOUGH,,,
errors,,,
excruciating,,,
Execrable,,,
exploitative,,,
failed,,,
fails,,,
failure,,,
Feeble,,,
Flawed,,,
flopped,,,
flounders,,,
forgettable,,,
freakshow,,,
frustrating,,,
frustration,,,
glacier-paced,,,
Godawful,,,
Goddammit,,,
gross,,,
grotesque,,,
grotesquely,,,
hate,,,
heinous,,,
hell,,,
hideous,,,
hideously,,,
hogwash,,,
holocaust,,,
horrendously,,,
horrible,,,
horribly,,,
horrid,,,
humorless,,,
icky,,,
idiotic,,,
idiots,,,
ignorant,,,
ill-constructed,,,
Illiterate,,,
illness,,,
impossible,,,
inauthentic,,,
inexcusable,,,
inferior,,,
infuriating,,,
inhospitability,,,
insufferable,,,
irritating,,,
jerky,,,
joyless,,,
lame,,,
laziest,,,
less-than-thrilling,,,
letdown,,,
lobotomized,,,
long-dreaded,,,
lousy,,,
ludicrous,,,
lynchings,,,
meaningless,,,
miserable,,,
miserably,,,
misguided,,,
monotony,,,
morbid,,,
moronic,,,
murder-suicide,,,
nauseating,,,
negativity,,,
nightmare,,,
not-at-all-good,,,
not-so-funny,,,
one-star,,,
Painful,,,
painfully,,,
pissed,,,
Plotless,,,
pointless,,,
pompous,,,
preposterous,,,
pungent,,,
racism,,,
racist,,,
repugnant,,,
Repulsion,,,
repulsive,,,
retch,,,
revulsion,,,
ripoff,,,
rip-off,,,
rubbish,,,
saddest,,,
scuzzy,,,
self-destructiveness,,,
shoddy,,,
sloppy,,,
smutty,,,
Snide,,,
snooze,,,
snoozer,,,
snore-fest,,,
so-bad-it,,,
so-bad-they,,,
soon-to-be-forgettable,,,
soul-killing,,,
Soulless,,,
stalking,,,
steals,,,
stupid,,,
stupider,,,
stupidest,,,
substance-free,,,
sucked,,,
sucker,,,
Sucking,,,
sucks,,,
super-stupid,,,
Terrible,,,
terribly,,,
time-wasting,,,
tiring,,,
tortuous,,,
tortured,,,
trash,,,
trash-cinema,,,
turd,,,
unappealing,,,
unbearable,,,
uncompelling,,,
under-inspired,,,
undisciplined,,,
unencouraging,,,
unendurable,,,
unexceptional,,,
unfocused,,,
unfulfilling,,,
unimaginatively,,,
unlikable,,,
unmemorable,,,
unoriginality,,,
unrecommendable,,,
unrecoverable,,,
unrewarding,,,
unsatisfying,,,
unsuccessful,,,
unwatchable,,,
Vague,,,
valueless,,,
violence,,,
vulgar,,,
Waste,,,
weakest,,,
wearisome,,,
white-trash,,,
Wince-inducing,,,
worst,,,
worth,,,
worthless,,,
wreaked,,,
wretched,,,
wretchedness,,,
zzzzzzzzz,,,
unrelentingly,,,
hate,,,
hated,,,
superlative,,,
sweetest,,,
never-fails,,,
whole-heartedly,,,
vastness,,,
greasiest,,,
cumbersome,,,
highly,,,
surprises,,,
endlessly,,,
worthwhile,,,
wildly,,,
superbly,,,
slowtime,,,
monotonous,,,
inflated,,,
glib,,,
quite,,,
ridiculous,,,
silly,,,
dumbed-down,,,
sabotages,,,
overstuffed,,,
rare,,,
smartest,,,
resolute,,,
fearless,,,
emptiness,,,
long-winded,,,
soapy,,,
strongly,,,
numbness,,,
indigestible,,,
verylittle,,,
drag,,,
hard-to-believe,,,
frustratingly,,,
mess,,,
enchanting,,,
compelling,,,
adroitly,,,
funny,,,
well-acted,,,
appealing,,,
flimsy,,,
aspiration,,,
crass,,,
fighting,,,
bottom,,,
formulaic,,,
wreck,,,
bounces,,,
silly,,,
formulaic,,,
suspect,,,
drowsy,,,
toomuch,,,
nonsense,,,
absolutely,,,
fancied,,,
slap,,,
too_long,,,
unwillingness,,,
frothy,,,
callow,,,
engaging,,,
engage,,,
pretentious,,,
rethink,,,
soppy,,,
mocking,,,
mawkish,,,
quirky,,,
